,LightGBM,Random Forest
Accuracy,0.8909121144092459,0.9153986862891826
Precision,0.8961826914974298,0.9264982072733481
Recall,0.8842604140683462,0.9023862974972977
F1 Score,0.8901816355570437,0.914283307358578
ROC-AUC,0.963978871186625,0.9746832756477246
Prediction Time,1.4239439964294434,0.2523815631866455
